rent date,season,mnth,holiday,weekday,workingday,weathersit,temp normalized,original hum,windspeed,casual users,registered users,total rental bikes
1/01/2011,Winter,1,0,6,0,Few clouds,0.344167,80.5833,10.749882,331,654,985
2/01/2011,Winter,1,0,0,0,Few clouds,0.363478,69.6087,16.652113,131,670,801
3/01/2011,Winter,1,0,1,1,Clear,0.196364,43.7273,16.636703,120,1229,1349
4/01/2011,Winter,1,0,2,1,Clear,0.2,59.0435,10.739832,108,1454,1562
5/01/2011,Winter,1,0,3,1,Clear,0.226957,43.6957,12.5223,82,1518,1600
6/01/2011,Winter,1,0,4,1,Clear,0.204348,51.8261,6.0008684,88,1518,1606
7/01/2011,Winter,1,0,5,1,Few clouds,0.196522,49.8696,11.304642,148,1362,1510
8/01/2011,Winter,1,0,6,0,Few clouds,0.165,53.5833,17.875868,68,891,959
9/01/2011,Winter,1,0,0,0,Clear,0.138333,43.4167,24.25065,54,768,822
10/01/2011,Winter,1,0,1,1,Clear,0.150833,48.2917,14.958889,41,1280,1321
11/01/2011,Winter,1,0,2,1,Few clouds,0.169091,68.6364,8.182844,43,1220,1263
12/01/2011,Winter,1,0,3,1,Clear,0.172727,59.9545,20.410009,25,1137,1162
13/01/2011,Winter,1,0,4,1,Clear,0.165,47.0417,20.167,38,1368,1406
14/01/2011,Winter,1,0,5,1,Clear,0.16087,53.7826,8.478716,54,1367,1421
15/01/2011,Winter,1,0,6,0,Few clouds,0.233333,49.875,10.583521,222,1026,1248
16/01/2011,Winter,1,0,0,0,Clear,0.231667,48.375,12.625011,251,953,1204
17/01/2011,Winter,1,1,1,0,Few clouds,0.175833,53.75,12.999139,117,883,1000
18/01/2011,Winter,1,0,2,1,Few clouds,0.216667,86.1667,9.833925,9,674,683
19/01/2011,Winter,1,0,3,1,Few clouds,0.292174,74.1739,13.957239,78,1572,1650
20/01/2011,Winter,1,0,4,1,Few clouds,0.261667,53.8333,13.125568,83,1844,1927
21/01/2011,Winter,1,0,5,1,Clear,0.1775,45.7083,23.667214,75,1468,1543
22/01/2011,Winter,1,0,6,0,Clear,0.0591304,40,11.52199,93,888,981
23/01/2011,Winter,1,0,0,0,Clear,0.0965217,43.6522,16.5222,150,836,986
24/01/2011,Winter,1,0,1,1,Clear,0.0973913,49.1739,10.60811,86,1330,1416
25/01/2011,Winter,1,0,2,1,Few clouds,0.223478,61.6957,8.696332,186,1799,1985
26/01/2011,Winter,1,0,3,1,Partly cloudy,0.2175,86.25,19.68795,34,472,506
27/01/2011,Winter,1,0,4,1,Clear,0.195,68.75,7.627079,15,416,431
28/01/2011,Winter,1,0,5,1,Few clouds,0.203478,79.3043,8.2611,38,1129,1167
29/01/2011,Winter,1,0,6,0,Clear,0.196522,65.1739,9.739455,123,975,1098
30/01/2011,Winter,1,0,0,0,Clear,0.216522,72.2174,4.9568342,140,956,1096
31/01/2011,Winter,1,0,1,1,Few clouds,0.180833,60.375,12.541864,42,1459,1501
1/02/2011,Winter,2,0,2,1,Few clouds,0.192174,82.9565,3.565271,47,1313,1360
2/02/2011,Winter,2,0,3,1,Few clouds,0.26,77.5417,17.708636,72,1454,1526
3/02/2011,Winter,2,0,4,1,Clear,0.186957,43.7826,18.609384,61,1489,1550
4/02/2011,Winter,2,0,5,1,Few clouds,0.211304,58.5217,8.565213,88,1620,1708
5/02/2011,Winter,2,0,6,0,Few clouds,0.233333,92.9167,10.792293,100,905,1005
6/02/2011,Winter,2,0,0,0,Clear,0.285833,56.8333,9.5006,354,1269,1623
7/02/2011,Winter,2,0,1,1,Clear,0.271667,73.8333,3.0423561,120,1592,1712
8/02/2011,Winter,2,0,2,1,Clear,0.220833,53.7917,24.25065,64,1466,1530
9/02/2011,Winter,2,0,3,1,Few clouds,0.134783,49.4783,12.652213,53,1552,1605
10/02/2011,Winter,2,0,4,1,Clear,0.144348,43.7391,14.869645,47,1491,1538
11/02/2011,Winter,2,0,5,1,Clear,0.189091,50.6364,7.27285,149,1597,1746
12/02/2011,Winter,2,0,6,0,Clear,0.2225,54.4167,13.625589,288,1184,1472
13/02/2011,Winter,2,0,0,0,Clear,0.316522,45.7391,17.479161,397,1192,1589
14/02/2011,Winter,2,0,1,1,Clear,0.415,37.5833,27.999836,208,1705,1913
15/02/2011,Winter,2,0,2,1,Clear,0.266087,31.4348,19.522058,140,1675,1815
16/02/2011,Winter,2,0,3,1,Clear,0.318261,42.3478,16.869997,218,1897,2115
17/02/2011,Winter,2,0,4,1,Clear,0.435833,50.5,15.416968,259,2216,2475
18/02/2011,Winter,2,0,5,1,Clear,0.521667,51.6667,17.749975,579,2348,2927
19/02/2011,Winter,2,0,6,0,Clear,0.399167,18.7917,34.000021,532,1103,1635
20/02/2011,Winter,2,0,0,0,Clear,0.285217,40.7826,14.956745,639,1173,1812
21/02/2011,Winter,2,1,1,0,Few clouds,0.303333,60.5,20.625682,195,912,1107
22/02/2011,Winter,2,0,2,1,Clear,0.182222,57.7778,13.110761,74,1376,1450
23/02/2011,Winter,2,0,3,1,Clear,0.221739,42.3043,6.305571,139,1778,1917
24/02/2011,Winter,2,0,4,1,Few clouds,0.295652,69.7391,16.783232,100,1707,1807
25/02/2011,Winter,2,0,5,1,Few clouds,0.364348,71.2174,23.218113,120,1341,1461
26/02/2011,Winter,2,0,6,0,Clear,0.2825,53.7917,12.500257,424,1545,1969
27/02/2011,Winter,2,0,0,0,Clear,0.343478,68,8.391616,694,1708,2402
28/02/2011,Winter,2,0,1,1,Few clouds,0.407273,87.6364,19.408962,81,1365,1446
1/03/2011,Winter,3,0,2,1,Clear,0.266667,53.5,14.500475,137,1714,1851
2/03/2011,Winter,3,0,3,1,Clear,0.335,44.9583,20.624811,231,1903,2134
3/03/2011,Winter,3,0,4,1,Clear,0.198333,31.8333,15.125518,123,1562,1685
4/03/2011,Winter,3,0,5,1,Few clouds,0.261667,61.0417,13.624182,214,1730,1944
5/03/2011,Winter,3,0,6,0,Few clouds,0.384167,78.9167,16.875357,640,1437,2077
6/03/2011,Winter,3,0,0,0,Few clouds,0.376522,94.8261,23.000229,114,491,605
7/03/2011,Winter,3,0,1,1,Clear,0.261739,55.1304,22.870584,244,1628,1872
8/03/2011,Winter,3,0,2,1,Clear,0.2925,42.0833,8.08355,316,1817,2133
9/03/2011,Winter,3,0,3,1,Few clouds,0.295833,77.5417,14.75005,191,1700,1891
10/03/2011,Winter,3,0,4,1,Partly cloudy,0.389091,0,17.545759,46,577,623
11/03/2011,Winter,3,0,5,1,Few clouds,0.316522,64.9565,15.60899,247,1730,1977
12/03/2011,Winter,3,0,6,0,Clear,0.329167,59.4583,14.791925,724,1408,2132
13/03/2011,Winter,3,0,0,0,Clear,0.384348,52.7391,18.130468,982,1435,2417
14/03/2011,Winter,3,0,1,1,Clear,0.325217,49.6957,9.174042,359,1687,2046
15/03/2011,Winter,3,0,2,1,Few clouds,0.317391,65.5652,12.348703,289,1767,2056
16/03/2011,Winter,3,0,3,1,Few clouds,0.365217,77.6522,13.608839,321,1871,2192
17/03/2011,Winter,3,0,4,1,Clear,0.415,60.2917,14.041793,424,2320,2744
18/03/2011,Winter,3,0,5,1,Clear,0.54,52.5217,15.478139,884,2355,3239
19/03/2011,Winter,3,0,6,0,Clear,0.4725,37.9167,24.667189,1424,1693,3117
20/03/2011,Winter,3,0,0,0,Clear,0.3325,47.375,13.917307,1047,1424,2471
21/03/2011,Spring,3,0,1,1,Few clouds,0.430435,73.7391,19.348461,401,1676,2077
22/03/2011,Spring,3,0,2,1,Clear,0.441667,62.4583,15.12525,460,2243,2703
23/03/2011,Spring,3,0,3,1,Few clouds,0.346957,83.9565,15.695487,203,1918,2121
24/03/2011,Spring,3,0,4,1,Few clouds,0.285,80.5833,16.333729,166,1699,1865
25/03/2011,Spring,3,0,5,1,Clear,0.264167,49.5,15.458575,300,1910,2210
26/03/2011,Spring,3,0,6,0,Clear,0.265833,39.4167,14.041257,981,1515,2496
27/03/2011,Spring,3,0,0,0,Few clouds,0.253043,49.3913,12.3481,472,1221,1693
28/03/2011,Spring,3,0,1,1,Clear,0.264348,30.2174,14.217668,222,1806,2028
29/03/2011,Spring,3,0,2,1,Clear,0.3025,31.4167,15.208732,317,2108,2425
30/03/2011,Spring,3,0,3,1,Few clouds,0.3,64.6667,11.583496,168,1368,1536
31/03/2011,Spring,3,0,4,1,Partly cloudy,0.268333,91.8333,14.582282,179,1506,1685
1/04/2011,Spring,4,0,5,1,Few clouds,0.3,68.625,17.333436,307,1920,2227
2/04/2011,Spring,4,0,6,0,Few clouds,0.315,65.375,13.208782,898,1354,2252
3/04/2011,Spring,4,0,0,0,Clear,0.378333,48,12.208271,1651,1598,3249
4/04/2011,Spring,4,0,1,1,Clear,0.573333,42.625,25.833257,734,2381,3115
5/04/2011,Spring,4,0,2,1,Few clouds,0.414167,64.2083,26.000489,167,1628,1795
6/04/2011,Spring,4,0,3,1,Clear,0.390833,47.0833,17.625221,413,2395,2808
7/04/2011,Spring,4,0,4,1,Clear,0.4375,60.2917,10.874904,571,2570,3141
8/04/2011,Spring,4,0,5,1,Few clouds,0.335833,83.625,15.208464,172,1299,1471
9/04/2011,Spring,4,0,6,0,Few clouds,0.3425,87.75,8.916561,879,1576,2455
10/04/2011,Spring,4,0,0,0,Few clouds,0.426667,85.75,9.833389,1188,1707,2895
11/04/2011,Spring,4,0,1,1,Few clouds,0.595652,71.6956,21.739758,855,2493,3348
12/04/2011,Spring,4,0,2,1,Few clouds,0.5025,73.9167,18.416893,257,1777,2034
13/04/2011,Spring,4,0,3,1,Few clouds,0.4125,81.9167,16.791339,209,1953,2162
14/04/2011,Spring,4,0,4,1,Clear,0.4675,54.0417,7.4169,529,2738,3267
15/04/2011,Spring,4,1,5,0,Clear,0.446667,67.125,15.167125,642,2484,3126
16/04/2011,Spring,4,0,6,0,Partly cloudy,0.430833,88.8333,22.834136,121,674,795
17/04/2011,Spring,4,0,0,0,Clear,0.456667,47.9583,20.334232,1558,2186,3744
18/04/2011,Spring,4,0,1,1,Clear,0.5125,54.25,10.958989,669,2760,3429
19/04/2011,Spring,4,0,2,1,Few clouds,0.505833,66.5833,10.584057,409,2795,3204
20/04/2011,Spring,4,0,3,1,Clear,0.595,61.4167,16.208975,613,3331,3944
21/04/2011,Spring,4,0,4,1,Clear,0.459167,40.7083,21.792286,745,3444,4189
22/04/2011,Spring,4,0,5,1,Few clouds,0.336667,72.9583,14.707907,177,1506,1683
23/04/2011,Spring,4,0,6,0,Few clouds,0.46,88.7917,15.458575,1462,2574,4036
24/04/2011,Spring,4,0,0,0,Few clouds,0.581667,81.0833,12.875725,1710,2481,4191
25/04/2011,Spring,4,0,1,1,Clear,0.606667,77.6667,12.417311,773,3300,4073
26/04/2011,Spring,4,0,2,1,Clear,0.631667,72.9167,21.8755,678,3722,4400
27/04/2011,Spring,4,0,3,1,Few clouds,0.62,83.5417,20.9174,547,3325,3872
28/04/2011,Spring,4,0,4,1,Few clouds,0.6175,70.0833,21.500836,569,3489,4058
29/04/2011,Spring,4,0,5,1,Clear,0.51,45.7083,16.084221,878,3717,4595
30/04/2011,Spring,4,0,6,0,Clear,0.4725,50.3333,15.750025,1965,3347,5312
1/05/2011,Spring,5,0,0,0,Few clouds,0.451667,76.2083,7.125718,1138,2213,3351
2/05/2011,Spring,5,0,1,1,Few clouds,0.549167,73,12.291418,847,3554,4401
3/05/2011,Spring,5,0,2,1,Few clouds,0.616667,69.7083,22.958689,603,3848,4451
4/05/2011,Spring,5,0,3,1,Few clouds,0.414167,73.7083,22.042732,255,2378,2633
5/05/2011,Spring,5,0,4,1,Clear,0.459167,44.4167,19.791264,614,3819,4433
6/05/2011,Spring,5,0,5,1,Clear,0.479167,59,15.292482,894,3714,4608
7/05/2011,Spring,5,0,6,0,Clear,0.52,54.125,10.75015,1612,3102,4714
8/05/2011,Spring,5,0,0,0,Clear,0.528333,63.1667,5.0007125,1401,2932,4333
9/05/2011,Spring,5,0,1,1,Clear,0.5325,58.875,11.792,664,3698,4362
10/05/2011,Spring,5,0,2,1,Clear,0.5325,48.9167,7.749957,694,4109,4803
11/05/2011,Spring,5,0,3,1,Clear,0.5425,63.2917,8.083014,550,3632,4182
12/05/2011,Spring,5,0,4,1,Clear,0.535,74.75,12.707689,695,4169,4864
13/05/2011,Spring,5,0,5,1,Few clouds,0.5125,86.3333,12.041575,692,3413,4105
14/05/2011,Spring,5,0,6,0,Few clouds,0.520833,92.25,9.04165,902,2507,3409
15/05/2011,Spring,5,0,0,0,Few clouds,0.5625,86.7083,10.249593,1582,2971,4553
16/05/2011,Spring,5,0,1,1,Clear,0.5775,78.7917,8.500357,773,3185,3958
17/05/2011,Spring,5,0,2,1,Few clouds,0.561667,83.7917,18.582718,678,3445,4123
18/05/2011,Spring,5,0,3,1,Few clouds,0.55,87,13.499964,536,3319,3855
19/05/2011,Spring,5,0,4,1,Few clouds,0.530833,82.9583,7.250271,735,3840,4575
