row ID,agent_city,agent_firm_name,agent_state,case_number,case_received_date,case_status,class_of_admission,country_of_citizenship,decision_date,employer_address_1,employer_address_2,employer_city,employer_country,employer_decl_info_title,employer_name,employer_num_employees,employer_phone,employer_phone_ext,employer_postal_code,employer_state,employer_yr_estab,foreign_worker_info_alt_edu_experience,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education,year,decision_year,decision_month
133236,houston,foster llp,tx,A-15034-47732,2015-02-20,Certified,H-1B,CHINA,2015-09-08,15600 john f. kennedy boulevard,9TH FLOOR,houston,UNITED STATES OF AMERICA,senior hr advisor,"intecsea, inc.",346,2819870800,,77032,texas,1984,Y,CHINA,KATY,Doctorate,2015,2015,9
30115,woodland hills,trustworthy visa,ca,A-15065-56624,2015-03-10,Certified-Expired,,IRAN,2015-10-09,14004 tomball parkway,None,houston,UNITED STATES OF AMERICA,president,a-1 support services,45,2819996200,,77086,tx,2008,,,SHIRAZ,Master's,2015,2015,10
259290,boston,"fragomen, del rey, bernsen & loewy, llp",ma,A-16166-21556,2016-07-01,Certified,H-1B,CHINA,2016-09-30,1272 borregas ave,None,sunnyvale,UNITED STATES OF AMERICA,hr business partner,"fairchild semiconductor international, inc.",6349,4088222000,,94089,ca,1957,,,SAN JOSE,Master's,2016,2016,9
196329,chicago,"fragomen, del rey, bernsen & loewy llp",il,A-16117-01841,2016-07-12,Certified,H-1B,INDIA,2016-09-22,161 n. clark,None,chicago,UNITED STATES OF AMERICA,people mobility service delivery - north america,accenture llp,305668,3126930161,,60601,il,2000,,,HARTFORD,Master's,2016,2016,9
34932,,,,A-15083-61379,2015-03-25,Withdrawn,H-1B,SOUTH KOREA,2015-03-25,57 seaview blvd,,port washington,UNITED STATES OF AMERICA,senior director of human resources,ivy enterprises inc,150,5166219779,,11050,new york,1991,A,SOUTH KOREA,HICKSVILLE,Bachelor's,2015,2015,3
147939,boston,mintz levin cohn ferris glovsky and popeo pc,ma,A-14104-60356,2014-05-20,Certified-Expired,H-1B,INDIA,2014-10-09,"29 wells avenue, suite 300",,yonkers,UNITED STATES OF AMERICA,immigration specialist,"mindspark interactive network, inc",220,9145912000,,10701,new york,1999,A,INDIA,HICKSVILLE,Master's,2014,2014,10
65242,los angeles,"law offices of brian w. oh, plc.",ca,A-15142-79298,2015-06-01,Certified-Expired,F-1,SOUTH KOREA,2015-12-04,18523 arline ave.,None,artesia,UNITED STATES OF AMERICA,senior pastor,bethel presbyterian church of  so. california,4,7148011625,,90701,ca,1989,,,LA CRESCENTA,Master's,2015,2015,12
368694,atlanta,ogletree deakins,ga,A-14191-87068,2014-07-21,Certified-Expired,H-1B,THAILAND,2015-10-01,one post street,None,san francisco,UNITED STATES OF AMERICA,mobility specialist,mckesson corporation,42800,4159838300,,94104,ca,1833,,,ALBANY,Master's,2014,2015,10
178006,atlanta,ogletree deakins,ga,A-14119-64645,2014-05-20,Certified-Expired,L-1,NEPAL,2015-02-23,one microsoft way,,redmond,UNITED STATES OF AMERICA,microsoft in-house attorney,microsoft corporation,58000,4257059061,,98052,washington,1975,A,NEPAL,REDMOND,Bachelor's,2014,2015,2
104640,larchmont,levin santalone llp,ny,A-16280-59439,2016-10-06,Certified,H-1B,CHINA,2016-12-16,"600 madison avenue, suite 2101",None,new york,UNITED STATES OF AMERICA,president,portland house partners llc,9,2129374293,,10022,ny,2014,,,JERSEY CITY,Bachelor's,2016,2016,12
356065,houston,"reddy & neumann, p.c.",tx,A-11112-73081,2011-07-18,Denied,,INDIA,2016-07-20,"13111 n. central expressway,",SUITE 8100,dallas,UNITED STATES OF AMERICA,hr director & immigration,corpus media labs,66,9727464614,,75243,tx,2009,,,NASHUA,Master's,,2016,7
